ITEM ID  DE  LA MATRIZ ;Código ADN Clínico-Funcional ;MODELO;CLASIFICACIÓN GENERAL;AGRUPADOR;DISPARADOR (Actividad, Función, Cargo, Examen Médico, Sistema, Hallazgo Clínico, Laboratorio Clínico);SISTEMA;COMPONENTE;SUBCOMPONENTE O CARACTERÍSTICA ANATÓMICA/FISIOLÓGICA (CON LATERALIDAD);VALORACIÓN ESPECÍFICA;CONDICIÓN CLÍNICA MÉDICA;HALLAZGO ESPERADO;ACCIÓN RECOMENDADA;INTERPRETACIÓN CLÍNICA;SEGUIMIENTO POR ESPECIALISTA;ESTADO DE APTITUD LABORAL;ACCIÓN RECOMENDADA IA (PLN/NLP)
11;OIDOSIN-01-011;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;oído_interno GRU-1 (16);sistema_nervioso_central/hiperreactividad/izquierdo;Retiro temporal de la línea telefónica. Terapia de desensibilización sonora y manejo de la ansiedad. Evaluar el limitador de picos de ruido del equipo.;Diagnóstico/Síndrome de shock acústico/Oído y Sistema Nervioso Central/Izquierdo;Otoscopia y audiometría normales. El diagnóstico es clínico: otalgia, tinnitus, hiperacusia y ansiedad post-evento en el lado izquierdo.;Retiro temporal de la línea telefónica. Terapia de desensibilización sonora y manejo de la ansiedad. Evaluar el limitador de picos de ruido del equipo.;Lesión funcional del sistema auditivo izquierdo por un evento acústico traumático. Genera una respuesta neurofisiológica y psicológica que te impide trabajar en tu puesto.;Audiología / ORL / Psiquiatría;Apto con Restricciones;Un ruido fuerte en el auricular causó un síndrome de shock acústico en tu oído izquierdo. Necesitas terapia y un tiempo fuera del teléfono para recuperarte.
12;OIDOFIS-01-012;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;oído_interno GRU-1 (16);oído_interno/fístula_perilinfática/derecho;Reposo absoluto en cama con la cabeza elevada. Exploración quirúrgica urgente (timpanotomía exploradora) para sellar la fístula. Hospitalización.;Diagnóstico/Fístula perilinfática post-estapedectomía/Oído Interno/Derecha;"El paciente refiere ""pop"" en el oído derecho seguido de vértigo y deterioro auditivo. Nistagmo provocado por presión en el trago.";Reposo absoluto en cama con la cabeza elevada. Exploración quirúrgica urgente (timpanotomía exploradora) para sellar la fístula.;Es una complicación grave tras una cirugía. La comunicación anómala entre el oído medio e interno en el lado derecho genera una disfunción vestíbulo-coclear aguda e incapacitante.;Otorrinolaringología (ORL) / Neurotología;No Apto Temporal;La cirugía de oído causó una complicación con una fístula en el oído derecho. Necesitas reposo absoluto y una cirugía de emergencia. Es una incapacidad temporal.
13;OIDOFRA-01-013;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;oído_interno GRU-1 (16);hueso_temporal/fractura_base_cráneo/derecho;Inmovilización cervical y manejo neuroquirúrgico de urgencia. Hospitalización en UCI. Riesgo vital. TC de cráneo para confirmar el trazo de la fractura.;Diagnóstico/Fractura de la base del cráneo (hueso temporal)/Oído y Sistema Nervioso/Derecho;Hemotímpano, signo de Battle (equimosis mastoidea), posible parálisis facial. TC de cráneo confirma el trazo de fractura que atraviesa el peñasco.;Inmovilización cervical y manejo neuroquirúrgico de urgencia. Hospitalización en UCI. La recuperación es prolongada y el pronóstico reservado.;Lesión traumática de máxima severidad con compromiso directo de las estructuras auditivas y nerviosas. Implica un pronóstico funcional reservado y una incapacidad prolongada.;Neurocirugía / UCI / ORL;No Apto Temporal;El trauma en la cabeza es muy grave y causó una fractura que afecta tu oído y nervios. Necesitas atención urgente. Es una incapacidad temporal muy prolongada.
14;OIDOQUE-01-014;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;Oído Externo / Piel y Tejidos Blandos (16);pabellón_auricular_y_conducto_auditivo/quemadura_eléctrica/izquierdo;Manejo de quemaduras (limpieza, antibióticos tópicos). Evaluación urgente por ORL para valorar la extensión del daño. Analgesia. Rehabilitación si hay secuelas.;Diagnóstico/Quemadura eléctrica de oído externo/Oído Externo/Izquierdo;Lesión tisular visible con grados variables de quemadura en el pabellón y conducto izquierdo. Posible daño timpánico asociado.;Manejo de quemaduras (limpieza, antibióticos tópicos). Evaluación urgente por ORL para valorar la extensión del daño y riesgo de necrosis del cartílago.;Lesión traumática severa que no solo afecta la piel, sino que puede causar necrosis del cartílago y daño funcional profundo en el oído izquierdo por la propagación de la energía.;Cirugía Plástica / ORL;No Apto Temporal;El arco eléctrico causó una quemadura en tu oído izquierdo. Necesitas atención especializada para evitar daños permanentes. Estarás incapacitado temporalmente.
15;OIDOIMP-01-015;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;Oído Externo / Piel y Tejidos Blandos (16);conducto_auditivo/impactación_cerumen/derecho;Lavado ótico por profesional de la salud. Otoscopia de control. Reevaluar la agudeza auditiva post-procedimiento y verificar la función auditiva.;Diagnóstico/Impactación de cerumen/Oído Externo/Derecho;Otoscopia que muestra la obstrucción del conducto auditivo externo derecho por tapón de cerumen. Membrana timpánica no visible.;Lavado ótico por profesional de la salud. Se requiere una reevaluación de la agudeza auditiva una vez resuelta la obstrucción.;Es una obstrucción física que causa hipoacusia conductiva temporal en el oído derecho. Es una condición reversible sin riesgo funcional una vez resuelta.;Medicina laboral / General;Apto con Restricciones;Si tienes el oído tapado por cerumen, te lo limpiarán. Después de eso, tu audición mejorará y no tendrás más problemas. Es una restricción temporal.
16;OIDOTIT-01-016;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;Oído Externo / Piel y Tejidos Blandos (16);conducto_auditivo/otitis_externa/izquierdo;Limpieza del conducto por especialista. Tratamiento con gotas antibióticas/antiinflamatorias. Evitar entrada de agua en el oído.;Diagnóstico/Otitis externa difusa aguda (oído de nadador)/Oído Externo/Izquierdo;Conducto auditivo izquierdo edematoso, eritematoso, con detritos blanquecinos. Dolor intenso a la movilización del pabellón.;Limpieza del conducto por especialista. Tratamiento con gotas antibióticas/antiinflamatorias. Evitar entrada de agua.;Es un proceso infeccioso/inflamatorio agudo en el oído izquierdo. Causa dolor severo y es incompatible con el uso de audífonos o tapones auditivos en el trabajo.;Medicina laboral / ORL;No Apto Temporal;Tienes una infección en el oído izquierdo. Es dolorosa y te impide usar audífonos. Necesitas tratamiento médico y estarás incapacitado temporalmente.
17;OIDOEXO-01-017;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;Oído Externo / Piel y Tejidos Blandos (16);conducto_auditivo/estenosis_ósea/bilateral;Evitar exposición a agua y viento fríos. Protección con tapones a medida. Considerar cirugía si causa retención de cerumen u otitis.;Diagnóstico/Exostosis múltiple del conducto auditivo externo/Oído Externo/Bilateral;Otoscopia muestra estenosis del conducto auditivo externo por múltiples protuberancias óseas. Crecimiento óseo reactivo.;Evitar exposición a agua y viento fríos. Protección con tapones a medida. Considerar cirugía si causa retención de cerumen u otitis recurrentes.;Crecimiento óseo reactivo bilateral por estímulo crónico. Predispone a infecciones y obstrucción, limitando la higiene del canal y el uso de audífonos.;Otorrinolaringología (ORL);Apto sin Restricciones;Las exostosis son crecimientos óseos en tus oídos. Necesitas protegerte del frío y el viento y usar tapones especiales. Se te considera apto sin restricción.
18;OIDOMAL-01-018;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;Oído Externo / Piel y Tejidos Blandos (16);conducto_auditivo/necrosis_tisular/izquierdo;Hospitalización inmediata. Antibióticos intravenosos de amplio espectro por tiempo prolongado. Desbridamiento quirúrgico. Monitoreo constante.;Diagnóstico/Otitis externa maligna o necrotizante/Oído y Base del Cráneo/Izquierdo;Tejido de granulación en el suelo del conducto auditivo izquierdo, otalgia intensa y parálisis facial. Gammagrafía con Tecnecio-99/Galio-67 positiva.;Hospitalización inmediata. Antibióticos intravenosos de amplio espectro por tiempo prolongado. Desbridamiento quirúrgico para erradicar la infección.;Es una infección agresiva y potencialmente mortal en el oído izquierdo. Requiere manejo hospitalario y conlleva una alta morbilidad y riesgo de secuelas neurológicas permanentes.;ORL / Infectología / Endocrinología;No Apto Temporal;Tienes una infección muy grave en el oído izquierdo que requiere hospitalización inmediata y cirugía. Es una incapacidad temporal para salvar tu vida y evitar secuelas.
19;OIDODIP-01-019;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;oído_interno GRU-1 (16);procesamiento_auditivo/diplacusia_disarmónica/no_aplica_lateralidad;La audiometría puede mostrar una asimetría en la hipoacusia. La condición es reportada subjetivamente. Se enfoca en rehabilitación auditiva y entrenamiento.;Diagnóstico/Diplacusia disarmónica/Oído y Procesamiento Auditivo/N/A;El paciente percibe un mismo tono de forma diferente en cada oído. La audiometría puede mostrar asimetría. No hay tratamiento específico.;No hay tratamiento específico. Se enfoca en la rehabilitación auditiva y el entrenamiento para la adaptación perceptual. Requiere ajustes en el audio.;Es una alteración cualitativa de la percepción del tono. Para profesionales de la música puede ser incapacitante y requiere ajustes en la monitorización de audio.;Audiología (especializada) / ORL;Apto con Restricciones;Como músico, percibes los tonos de forma diferente en cada oído. Se recomienda terapia auditiva y adaptar tus herramientas de trabajo para mejorar tu desempeño.
20;SISTSCH-01-020;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;Sistema Nervioso Central / Periférico / Auditivo (11);nervio_vestibulococlear/compresión_tumoral/izquierdo;Audiometría con pérdida neurosensorial unilateral izquierda. Potenciales Evocados Auditivos de Tronco Cerebral (PEATC) alterados. RMN con contraste.;Diagnóstico/Schwannoma Vestibular (Neurinoma del acústico)/Oído y Nervio Craneal/Izquierda;Audiometría con pérdida neurosensorial unilateral. Potenciales Evocados Auditivos alterados. RMN con contraste confirma tumor en el nervio vestibulococlear.;Remisión urgente a Neurocirugía y ORL. Restricción para operar maquinaria o conducir, por riesgo de vértigo.;Es una lesión tumoral benigna en el nervio vestibulococlear izquierdo. Compromete la audición y el equilibrio, generando un alto riesgo de accidentes por vértigo.;Neurocirugía / ORL / Otoneurología;Apto con Restricciones;Se sospecha un tumor benigno en el nervio de tu oído izquierdo. Causa problemas de audición y equilibrio. Necesitas ser revisado por un especialista y tendrás restricciones en el trabajo.
21;OIDOENF-01-021;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;oído_interno GRU-1 (16);laberinto/hidrops_endolinfático/izquierdo;Audiometría para pérdida neurosensorial fluctuante. Diagnóstico clínico por crisis de vértigo, tinnitus y sensación de oído tapado.;Diagnóstico/Enfermedad de Menière/Oído Interno/Izquierdo;Hipoacusia neurosensorial fluctuante en frecuencias graves, tinnitus y crisis de vértigo documentadas.;Manejo con dieta baja en sodio y diuréticos. Tratamiento para crisis agudas. Restricción para conducción y manejo de maquinaria peligrosa.;Trastorno crónico del oído interno izquierdo. Las crisis de vértigo son impredecibles y altamente incapacitantes, afectando la seguridad y desempeño laboral.;Otoneurología / ORL;Apto con Restricciones;Si tienes enfermedad de Menière en el oído izquierdo, tus crisis de vértigo son impredecibles. Necesitas una dieta especial y medicación. Tendrás restricciones para conducir o usar maquinaria.
22;SISCERE-01-022;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;Sistema Nervioso Central / Periférico / Auditivo (11);sistema_nervioso_central/procesamiento_auditivo/no_aplica_lateralidad;Audiometría tonal normal. Pruebas de procesamiento auditivo central (habla en ruido, patrones de frecuencia) alteradas.;Diagnóstico/Trastorno del Procesamiento Auditivo Central (TPAC)/Sistema Nervioso Central/N/A;Audiometría tonal normal. Pruebas de procesamiento auditivo central alteradas. Dificultad para seguir conversaciones en entornos complejos.;Terapia fonoaudiológica. Uso de sistemas de ayuda auditiva (FM). Estrategias de compensación ambiental (reducir ruido de fondo).;Es un déficit en la forma en que el cerebro interpreta los sonidos. Afecta la memoria auditiva, discriminación y comprensión, generando una desventaja funcional en entornos demandantes.;Fonoaudiología / Audiología / Neurología;Apto con Restricciones;Tienes un trastorno que dificulta a tu cerebro interpretar los sonidos. Se recomienda terapia de audición y estrategias para reducir el ruido en tu lugar de trabajo.
23;OIDODEH-01-023;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;oído_interno GRU-1 (16);canal_semicircular_superior/dehiscencia_ósea/derecho;TC de alta resolución de peñascos para confirmar el defecto óseo en el canal semicircular superior. VEMP con umbral bajo.;Diagnóstico/Dehiscencia del Canal Semicircular Superior (fenómeno de Tullio)/Oído Interno/Derecho;TC de alta resolución de peñascos confirma un defecto óseo en el canal semicircular superior derecho. VEMP con umbral bajo. Vértigo por sonidos fuertes.;Evitar exposición a ruidos de impulso y cambios de presión. Valoración por ORL/Neurotología para posible manejo quirúrgico (taponamiento del canal).;La presión sonora o intracraneal activa el sistema vestibular, causando desorientación espacial. Es incompatible con entornos ruidosos o de presión variable en el oído derecho.;Neurotología / ORL;Apto con Restricciones;Si tienes dehiscencia del canal superior en tu oído derecho, ruidos fuertes y cambios de presión te causan mareos. Evita ruidos y grandes cambios de presión.
24;NERVNEU-01-024;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;Sistema Nervioso Central / Periférico / Auditivo (11);nervio_auditivo/desincronización_nerviosa/izquierdo;Derivación a centro audiológico especializado para diagnóstico. Adaptación de sistemas de Frecuencia Modulada (FM) o implantes cocleares según el caso.;Diagnóstico/Neuropatía auditiva o desincronización/Nervio Auditivo/Izquierdo;Audiometría tonal normal o casi normal. Reflejos estapediales ausentes y potenciales evocados auditivos de tronco cerebral (PEATC) anormales.;Derivación a centro audiológico especializado. Adaptación de sistemas de Frecuencia Modulada (FM) o implantes cocleares según el caso.;Es una condición donde la transmisión de la señal al cerebro está desorganizada. Genera una severa distorsión en la percepción del lenguaje que afecta tu comunicación.;Audiología / Otoneurología;Apto con Restricciones;El sonido no llega a tu cerebro de forma clara por una condición en el nervio del oído izquierdo. Esto distorsiona el lenguaje. Se recomienda ayuda auditiva y terapia especializada.
25;OIDOHIP-01-025;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;oído_interno GRU-1 (16);células_ciliadas/atrofia/bilateral;Seguimiento audiométrico seriado. RMN para descartar recurrencia tumoral. Adaptación de audífonos potentes o valoración para implante coclear.;Diagnóstico/Hipoacusia inducida por radiación/Oído y Nervio Auditivo/Bilateral;Hipoacusia neurosensorial bilateral de inicio tardío (meses/años post-RT). La audiometría confirma pérdida auditiva progresiva.;No hay tratamiento curativo. Adaptación de audífonos potentes o valoración para implante coclear. Monitoreo de otras secuelas de radiación.;Es una secuela del tratamiento oncológico. El daño progresivo a las células ciliadas genera una discapacidad funcional comunicativa que requiere adaptaciones laborales permanentes.;Oncología Radioterápica / ORL / Audiología;Apto con Restricciones;La radioterapia ha afectado tu audición. Es una pérdida auditiva progresiva. Se recomienda usar audífonos y hacer controles. Tu trabajo debe ser adaptado para esta condición.
26;OIDOHIP-01-026;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;oído_interno GRU-1 (16);oído_interno/isquemia_neural/izquierdo;Urgencia médica. Iniciar tratamiento con corticoides sistémicos u orales de inmediato. Reposo auditivo. Reevaluación en 72 horas para pronóstico.;Diagnóstico/Hipoacusia súbita neurosensorial idiopática/Oído/Izquierda;Audiometría que confirma una pérdida neurosensorial de al menos 30 dB en 3 frecuencias consecutivas, de instalación en menos de 72 horas.;Es una urgencia médica. Se debe iniciar tratamiento con corticoides sistémicos u orales de inmediato. Reposo auditivo.;Es un evento agudo de origen desconocido. Es una emergencia otológica en el oído izquierdo. El pronóstico de recuperación es tiempo-dependiente y afecta la localización del sonido.;Otorrinolaringología (ORL);Apto con Restricciones;Si perdiste la audición de repente en el oído izquierdo, es una urgencia. Necesitas ir al médico de inmediato para recibir tratamiento.
27;OIDOENF-01-027;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;oído_interno GRU-1 (16);oído_interno/inflamación/bilateral;Tratamiento agresivo con esteroides y/o inmunosupresores. Seguimiento estricto con Reumatología y ORL. Adaptación laboral.;Diagnóstico/Enfermedad Autoinmune del Oído Interno (EAOI)/Oído/Bilateral;Hipoacusia neurosensorial bilateral progresiva en semanas o meses. Pruebas de autoinmunidad pueden ser positivas. Respuesta a corticoides es diagnóstica.;Tratamiento agresivo con esteroides y/o inmunosupresores. Seguimiento estricto con Reumatología y ORL. Adaptación laboral según la fluctuación de los síntomas.;Es un ataque del sistema inmune a las estructuras del oído interno. La naturaleza impredecible de la pérdida auditiva y el vértigo genera una discapacidad funcional.;Reumatología / ORL / Inmunología;Apto con Restricciones;Una enfermedad autoinmune está afectando tu audición y equilibrio. Necesitas tratamiento agresivo y adaptaciones en tu trabajo.
28;OIDOINF-01-028;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;oído_interno GRU-1 (16);laberinto/infarto_vascular/derecho;Manejo como un accidente cerebrovascular (ACV) agudo. Hospitalización. Estudio vascular completo. Rehabilitación vestibular intensiva.;Diagnóstico/Infarto laberíntico (isquemia)/Oído Interno/Derecho;RMN con difusión (DWI) puede mostrar infarto cerebelar. Hipoacusia neurosensorial y arreflexia vestibular unilateral.;Manejo como un accidente cerebrovascular agudo. Hospitalización, estudio vascular completo. Rehabilitación vestibular intensiva.;La muerte de tejido en el oído interno derecho por oclusión vascular resulta en una pérdida funcional permanente y abrupta de audición y equilibrio.;Neurología / ORL / Fisioterapia;No Apto Temporal;El infarto en tu oído interno derecho causó una pérdida permanente de audición y equilibrio. Necesitas rehabilitación y estarás incapacitado temporalmente.
